route_id,hour,disruption_reason,services,total_delay,avg_delay,p95_delay,on_time_15,on_time_15_%
BCN-IBZ,16,NONE,31,248.0,8.01,18.0,0.9032258064516129,90.32
BCN-PMI,10,NONE,32,245.0,7.66,19.01,0.875,87.5
VAL-IBZ,18,NONE,31,237.0,7.64,17.9,0.8387096774193549,83.87
MAH-BCN,11,NONE,37,225.0,6.07,17.62,0.8918918918918919,89.19
ALG-PMI,17,NONE,33,219.0,6.63,15.1,0.9090909090909091,90.91
VAL-PMI,11,NONE,31,216.0,6.96,17.7,0.9032258064516129,90.32
BCN-PMI,15,NONE,33,214.0,6.5,17.8,0.8787878787878788,87.88
VAL-PMI,19,NONE,31,201.0,6.49,14.75,0.9354838709677419,93.55
DEN-PMI,11,NONE,31,198.0,6.4,19.15,0.9032258064516129,90.32
BCN-IBZ,8,NONE,30,189.0,6.31,15.42,0.9333333333333333,93.33
VAL-PMI,12,NONE,33,188.0,5.71,15.82,0.9393939393939394,93.94
DEN-PMI,13,NONE,32,179.0,5.6,16.6,0.9375,93.75
ALG-IBZ,12,NONE,36,179.0,4.98,12.08,0.9722222222222222,97.22
DEN-PMI,15,NONE,33,176.0,5.33,10.44,0.9696969696969697,96.97
BCN-PMI,17,NONE,30,175.0,5.84,14.01,1.0,100.0
